COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd        1                 root   21u  unix 0xffff8df682c64800      0t0   4276 /run/systemd/private type=STREAM (LISTEN)
systemd        1                 root   22u  unix 0xffff8df682c66400      0t0   4278 /run/systemd/userdb/io.systemd.DynamicUser type=STREAM (LISTEN)
systemd        1                 root   23u  unix 0xffff8df682c66c00      0t0   4279 /run/systemd/io.systemd.ManagedOOM type=STREAM (LISTEN)
systemd        1                 root   46u  unix 0xffff8df62583a000      0t0  36726 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   48u  unix 0xffff8df682c67400      0t0   4273 /run/systemd/notify type=DGRAM (CONNECTED)
systemd        1                 root   49u  unix 0xffff8df681c29400      0t0   6090 /run/systemd/io.systemd.ManagedOOM type=STREAM (CONNECTED)
systemd        1                 root   50u  unix 0xffff8df682c66800      0t0   4274 type=DGRAM (CONNECTED)
systemd        1                 root   77u  unix 0xffff8df683ba1400      0t0   4418 type=DGRAM (CONNECTED)
systemd        1                 root   81u  unix 0xffff8df682c67800      0t0   4275 type=DGRAM (CONNECTED)
systemd        1                 root   82u  unix 0xffff8df68adaa400      0t0   8392 type=DGRAM (CONNECTED)
systemd        1                 root   83u  unix 0xffff8df68adaac00      0t0   8393 type=DGRAM (CONNECTED)
systemd        1                 root   84u  unix 0xffff8df5b13c1800      0t0  11933 type=DGRAM (CONNECTED)
systemd        1                 root   85u  unix 0xffff8df5b13c1000      0t0  11934 type=DGRAM (CONNECTED)
systemd        1                 root   90u  unix 0xffff8df683ba1000      0t0   7959 /run/avahi-daemon/socket type=STREAM (LISTEN)
systemd        1                 root   91u  unix 0xffff8df681c28400      0t0   3738 /run/systemd/io.systemd.sysext type=STREAM (LISTEN)
systemd        1                 root   96u  unix 0xffff8df682c67c00      0t0   4302 /run/systemd/oom/io.systemd.ManagedOOM type=STREAM (LISTEN)
systemd        1                 root  100u  unix 0xffff8df68bdf0000      0t0   9617 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  101u  unix 0xffff8df68c5ebc00      0t0   9394 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  102u  unix 0xffff8df68bdf0c00      0t0   9378 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  103u  unix 0xffff8df68ada9c00      0t0   8646 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  104u  unix 0xffff8df68bdf3400      0t0   8554 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  105u  unix 0xffff8df68bdf2000      0t0   8529 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  106u  unix 0xffff8df68ca33800      0t0   8526 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  107u  unix 0xffff8df68c5e8800      0t0   8459 /run/systemd/journal/stdout type=STREAM (CONNECTED)
