total 0
dr-x------ 2 root root 248 Nov 20 03:38 .
dr-xr-xr-x 9 root root   0 Nov 20 03:38 ..
lrwx------ 1 root root  64 Nov 20 03:38 0 -> /dev/null
lrwx------ 1 root root  64 Nov 20 03:38 1 -> /dev/null
lrwx------ 1 root root  64 Nov 20 03:38 10 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 100 -> socket:[9617]
lrwx------ 1 root root  64 Nov 23 12:30 101 -> socket:[9394]
lrwx------ 1 root root  64 Nov 23 12:25 102 -> socket:[9378]
lrwx------ 1 root root  64 Nov 23 12:18 103 -> socket:[8646]
lrwx------ 1 root root  64 Nov 23 12:16 104 -> socket:[8554]
lrwx------ 1 root root  64 Nov 23 12:18 105 -> socket:[8529]
lrwx------ 1 root root  64 Nov 23 12:18 106 -> socket:[8526]
lrwx------ 1 root root  64 Nov 23 12:25 107 -> socket:[8459]
lrwx------ 1 root root  64 Nov 23 12:16 108 -> socket:[8458]
lrwx------ 1 root root  64 Nov 23 12:18 109 -> socket:[8414]
lr-x------ 1 root root  64 Nov 23 12:18 11 -> anon_inode:inotify
lrwx------ 1 root root  64 Nov 23 12:18 110 -> socket:[8396]
lrwx------ 1 root root  64 Nov 23 12:18 111 -> socket:[8368]
lrwx------ 1 root root  64 Nov 23 12:18 112 -> socket:[8291]
lrwx------ 1 root root  64 Nov 23 12:25 113 -> socket:[8251]
lrwx------ 1 root root  64 Nov 23 12:35 114 -> socket:[5690]
lrwx------ 1 root root  64 Nov 23 12:17 115 -> socket:[5564]
lrwx------ 1 root root  64 Nov 23 12:30 116 -> socket:[4753]
lrwx------ 1 root root  64 Nov 23 12:18 117 -> socket:[8596]
lrwx------ 1 root root  64 Nov 23 12:18 118 -> socket:[11393]
lrwx------ 1 root root  64 Nov 23 12:18 119 -> socket:[11428]
lrwx------ 1 root root  64 Nov 20 03:38 12 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 120 -> socket:[11468]
lrwx------ 1 root root  64 Nov 23 12:18 121 -> socket:[12501]
lrwx------ 1 root root  64 Nov 23 12:18 122 -> socket:[11948]
lrwx------ 1 root root  64 Nov 23 12:18 123 -> socket:[12059]
lrwx------ 1 root root  64 Nov 23 12:48 124 -> socket:[14375]
lrwx------ 1 root root  64 Nov 23 12:18 125 -> socket:[13637]
lrwx------ 1 root root  64 Nov 23 12:30 126 -> anon_inode:bpf-prog
lrwx------ 1 root root  64 Nov 23 13:20 127 -> anon_inode:[pidfd]
lrwx------ 1 root root  64 Nov 23 12:18 128 -> socket:[15059]
lrwx------ 1 root root  64 Nov 23 12:18 129 -> socket:[15060]
lrwx------ 1 root root  64 Nov 20 03:38 13 -> anon_inode:[eventpoll]
lrwx------ 1 root root  64 Nov 23 12:18 130 -> socket:[14258]
lrwx------ 1 root root  64 Nov 23 12:18 131 -> socket:[14334]
lrwx------ 1 root root  64 Nov 23 12:18 132 -> socket:[15375]
lrwx------ 1 root root  64 Nov 23 12:18 133 -> socket:[15381]
