6300ca000000-6300d2000000 rw-s 00000000 00:01 1061                       /dev/zero (deleted)
6300d2192000-6300d2271000 r--p 00000000 08:02 943169                     /usr/sbin/php-fpm8.3
6300d2271000-6300d25a6000 r-xp 000df000 08:02 943169                     /usr/sbin/php-fpm8.3
6300d25a6000-6300d267f000 r--p 00414000 08:02 943169                     /usr/sbin/php-fpm8.3
6300d267f000-6300d270e000 r--p 004ed000 08:02 943169                     /usr/sbin/php-fpm8.3
6300d270e000-6300d2710000 rw-p 0057c000 08:02 943169                     /usr/sbin/php-fpm8.3
6300d2710000-6300d272e000 rw-p 00000000 00:00 0 
6300f53aa000-6300f5693000 rw-p 00000000 00:00 0                          [heap]
74378e0a1000-74378e122000 rw-p 00000000 00:00 0 
74378e122000-74378e126000 r--p 00000000 08:02 943141                     /usr/lib/x86_64-linux-gnu/libzip.so.4.0
74378e126000-74378e139000 r-xp 00004000 08:02 943141                     /usr/lib/x86_64-linux-gnu/libzip.so.4.0
74378e139000-74378e13d000 r--p 00017000 08:02 943141                     /usr/lib/x86_64-linux-gnu/libzip.so.4.0
74378e13d000-74378e13e000 r--p 0001a000 08:02 943141                     /usr/lib/x86_64-linux-gnu/libzip.so.4.0
74378e13e000-74378e13f000 rw-p 0001b000 08:02 943141                     /usr/lib/x86_64-linux-gnu/libzip.so.4.0
74378e13f000-74378e145000 r--p 00000000 08:02 1315848                    /usr/lib/php/20230831/zip.so
74378e145000-74378e152000 r-xp 00006000 08:02 1315848                    /usr/lib/php/20230831/zip.so
74378e152000-74378e155000 r--p 00013000 08:02 1315848                    /usr/lib/php/20230831/zip.so
74378e155000-74378e158000 r--p 00016000 08:02 1315848                    /usr/lib/php/20230831/zip.so
74378e158000-74378e159000 rw-p 00019000 08:02 1315848                    /usr/lib/php/20230831/zip.so
74378e159000-74378e15d000 r--p 00000000 08:02 929104                     /usr/lib/x86_64-linux-gnu/libexslt.so.0.8.21
74378e15d000-74378e16c000 r-xp 00004000 08:02 929104                     /usr/lib/x86_64-linux-gnu/libexslt.so.0.8.21
74378e16c000-74378e170000 r--p 00013000 08:02 929104                     /usr/lib/x86_64-linux-gnu/libexslt.so.0.8.21
74378e170000-74378e171000 r--p 00016000 08:02 929104                     /usr/lib/x86_64-linux-gnu/libexslt.so.0.8.21
74378e171000-74378e172000 rw-p 00017000 08:02 929104                     /usr/lib/x86_64-linux-gnu/libexslt.so.0.8.21
74378e172000-74378e17b000 r--p 00000000 08:02 929658                     /usr/lib/x86_64-linux-gnu/libxslt.so.1.1.39
74378e17b000-74378e1a4000 r-xp 00009000 08:02 929658                     /usr/lib/x86_64-linux-gnu/libxslt.so.1.1.39
74378e1a4000-74378e1b1000 r--p 00032000 08:02 929658                     /usr/lib/x86_64-linux-gnu/libxslt.so.1.1.39
74378e1b1000-74378e1b2000 r--p 0003e000 08:02 929658                     /usr/lib/x86_64-linux-gnu/libxslt.so.1.1.39
74378e1b2000-74378e1b3000 rw-p 0003f000 08:02 929658                     /usr/lib/x86_64-linux-gnu/libxslt.so.1.1.39
74378e1c3000-74378e1c6000 r--p 00000000 08:02 1315833                    /usr/lib/php/20230831/xsl.so
74378e1c6000-74378e1ca000 r-xp 00003000 08:02 1315833                    /usr/lib/php/20230831/xsl.so
74378e1ca000-74378e1cb000 r--p 00007000 08:02 1315833                    /usr/lib/php/20230831/xsl.so
74378e1cb000-74378e1cc000 r--p 00008000 08:02 1315833                    /usr/lib/php/20230831/xsl.so
74378e1cc000-74378e1cd000 rw-p 00009000 08:02 1315833                    /usr/lib/php/20230831/xsl.so
74378e1cd000-74378e1d2000 r--p 00000000 08:02 1315832                    /usr/lib/php/20230831/xmlwriter.so
74378e1d2000-74378e1d5000 r-xp 00005000 08:02 1315832                    /usr/lib/php/20230831/xmlwriter.so
74378e1d5000-74378e1d7000 r--p 00008000 08:02 1315832                    /usr/lib/php/20230831/xmlwriter.so
74378e1d7000-74378e1da000 r--p 00009000 08:02 1315832                    /usr/lib/php/20230831/xmlwriter.so
74378e1da000-74378e1db000 rw-p 0000c000 08:02 1315832                    /usr/lib/php/20230831/xmlwriter.so
74378e1db000-74378e1de000 r--p 00000000 08:02 1315831                    /usr/lib/php/20230831/xmlreader.so
