/dev/sda2 / ext4 ro,nosuid,relatime 0 0
tmpfs /run tmpfs rw,nosuid,nodev,noexec,relatime,size=406076k,mode=755,inode64 0 0
tmpfs /run/lock tmpfs rw,nosuid,nodev,noexec,relatime,size=5120k,inode64 0 0
sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
cgroup2 /sys/fs/cgroup cgroup2 ro,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot 0 0
pstore /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
bpf /sys/fs/bpf bpf ro,nosuid,nodev,noexec,relatime,mode=700 0 0
tracefs /sys/kernel/tracing tracefs ro,nosuid,nodev,noexec,relatime 0 0
debugfs /sys/kernel/debug debugfs ro,nosuid,nodev,noexec,relatime 0 0
fusectl /sys/fs/fuse/connections fusectl rw,nosuid,nodev,noexec,relatime 0 0
configfs /sys/kernel/config configfs rw,nosuid,nodev,noexec,relatime 0 0
/dev/loop0 /snap/bare/5 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop1 /snap/core22/2045 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop3 /snap/firmware-updater/167 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop2 /snap/firefox/6565 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop4 /snap/firmware-updater/210 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop5 /snap/firefox/7355 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop6 /snap/gnome-42-2204/202 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop7 /snap/snap-store/1270 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop8 /snap/gtk-common-themes/1535 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop10 /snap/snapd/24792 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop9 /snap/snapd/25577 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop11 /snap/snapd-desktop-integration/315 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
tmpfs /dev tmpfs ro,nosuid,noexec,size=4096k,nr_inodes=65536,mode=755,inode64 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev,inode64 0 0
mqueue /dev/mqueue mqueue rw,nosuid,nodev,noexec,relatime 0 0
hugetlbfs /dev/hugepages hugetlbfs rw,nosuid,nodev,relatime,pagesize=2M 0 0
tmpfs /home tmpfs ro,nosuid,nodev,noexec,relatime,size=406076k,mode=755,inode64 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc rw,nosuid,nodev,noexec,relatime 0 0
proc /proc/acpi proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/bus proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/fs proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/irq proc ro,nosuid,nodev,noexec,relatime 0 0
tmpfs /proc/kallsyms tmpfs ro,nosuid,nodev,noexec,relatime,size=406076k,mode=755,inode64 0 0
tmpfs /proc/kcore tmpfs ro,nosuid,nodev,noexec,relatime,size=406076k,mode=755,inode64 0 0
tmpfs /proc/kmsg tmpfs ro,nosuid,nodev,noexec,relatime,size=406076k,mode=755,inode64 0 0
proc /proc/latency_stats proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/mtrr proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/scsi proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/sys proc ro,nosuid,nodev,noexec,relatime 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/sysrq-trigger proc ro,nosuid,nodev,noexec,relatime 0 0
tmpfs /root tmpfs ro,nosuid,nodev,noexec,relatime,size=406076k,mode=755,inode64 0 0
