    PID USER     CGROUP
      1 root     0::/init.scope
      2 root     -
      3 root     -
      4 root     -
      5 root     -
      6 root     -
      7 root     -
      8 root     -
     12 root     -
     13 root     -
     14 root     -
     15 root     -
     16 root     -
     17 root     -
     18 root     -
     19 root     -
     20 root     -
     21 root     -
     22 root     -
     23 root     -
     24 root     -
     25 root     -
     26 root     -
     27 root     -
     32 root     -
     33 root     -
     34 root     -
     35 root     -
     36 root     -
     38 root     -
     39 root     -
     41 root     -
     42 root     -
     43 root     -
     44 root     -
     45 root     -
     46 root     -
     47 root     -
     48 root     -
     49 root     -
     50 root     -
     51 root     -
     52 root     -
     53 root     -
     54 root     -
     55 root     -
     56 root     -
     57 root     -
     58 root     -
     60 root     -
     61 root     -
     62 root     -
     63 root     -
     67 root     -
     68 root     -
     69 root     -
     70 root     -
     78 root     -
     80 root     -
     81 root     -
     82 root     -
     95 root     -
    145 root     -
    146 root     -
    201 root     -
    202 root     -
    250 root     0::/system.slice/systemd-journald.service
    322 root     0::/system.slice/systemd-udevd.service/udev
    372 root     -
    415 systemd+ 0::/system.slice/systemd-oomd.service
    418 systemd+ 0::/system.slice/systemd-resolved.service
    564 root     -
    573 root     -
    576 root     -
    681 avahi    0::/system.slice/avahi-daemon.service
    685 message+ 0::/system.slice/dbus.service
    690 gnome-r+ 0::/system.slice/gnome-remote-desktop.service
    709 polkitd  0::/system.slice/polkit.service
    717 root     0::/system.slice/power-profiles-daemon.service
    730 root     0::/system.slice/snapd.service
    735 root     0::/system.slice/accounts-daemon.service
    743 root     0::/system.slice/cron.service
    746 root     0::/system.slice/switcheroo-control.service
    752 root     0::/system.slice/systemd-logind.service
    757 root     0::/system.slice/udisks2.service
    780 avahi    0::/system.slice/avahi-daemon.service
    797 root     0::/system.slice/NetworkManager.service
    800 root     0::/system.slice/wpa_supplicant.service
    811 syslog   0::/system.slice/rsyslog.service
    933 root     0::/system.slice/ModemManager.service
    984 root     0::/system.slice/virtualbox-guest-utils.service
   1150 root     0::/system.slice/cups.service
   1154 root     0::/system.slice/php8.3-fpm.service
   1162 root     0::/system.slice/unattended-upgrades.service
   1182 www-data 0::/system.slice/php8.3-fpm.service
   1183 www-data 0::/system.slice/php8.3-fpm.service
